variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
"a_fit[14,42,1]",22.538251177680376,16.746695,22.69207093293847,24.828648919323122,6.666845000000001e-5,49.866315,1.829558330266,5.806436677936556,46.92949884021686
"a_fit[15,42,1]",30.705665879285068,25.984816000000002,30.762340437995714,38.52508820168129,5.2978660000000005e-8,64.675055,1.7495076165601395,6.037424348232879,66.23289964886483
"a_fit[16,42,1]",30.571135163455207,19.5865,30.233846914033663,29.03894490016418,2.5430145000000033e-14,65.12842,1.7344487902880654,6.093662210404167,145.97256304221781
"a_fit[17,42,1]",44.54425807624636,51.0157,43.54472908280668,67.682891661,-4.9315399999999975e-14,95.25198999999999,1.7939446054831052,5.92159534835119,38.932646334425954
"a_fit[18,42,1]",39.39563613211161,44.75305,38.28626685058049,59.881494939,5.104072659000091e-19,84.536025,1.7330159727826981,6.132118920376576,103.31880898937422
"a_fit[19,42,1]",33.60165772719885,39.3598,33.1013440573999,52.8999093,-7.464342499999978e-16,73.54791999999999,1.7333395390658968,6.099155151724274,86.75041586798106
"a_fit[20,42,1]",32.567309450133756,29.5077,32.12687658254862,43.748116020000815,1.3140690000000027e-14,69.23365000000001,1.7568801401689926,6.029036065248747,61.88566890803499
"a_fit[21,42,1]",33.786950075953165,43.2358,33.33074486774748,50.391127710000006,-3.5373399999999827e-15,73.063115,1.7418543380376856,6.075352480294208,68.06403317790878
"a_fit[22,42,1]",31.09465899494968,25.06165,30.383515865904663,37.156402290012906,-3.2909004999999907e-15,66.46546000000001,1.734015431027562,6.125786275404142,95.4572835496547
"a_fit[23,42,1]",40.054718839617195,30.552100000000003,39.621504105481975,45.29654346002163,-3.519061999999774e-19,85.326475,1.7409546514599674,6.097861033847158,119.18303554213213
"a_fit[24,42,1]",45.842928387501146,62.941950000000006,45.03319609255545,56.95267052999998,-9.657649999999955e-14,97.055285,1.8824579684869753,5.682987651661581,30.768661198812463
"a_fit[25,42,1]",41.01186891427023,33.855,40.26949196812104,50.19342300007095,-3.331449999999952e-18,86.61278999999999,1.7406627810043485,6.0906440640938175,102.43634434324225
"a_fit[26,42,1]",44.62013735194852,33.4981,43.854450519625495,49.66428306010108,-1.6132559999999801e-15,94.22148999999999,1.7506063432614416,6.052364772808278,66.79154805137142
"a_fit[27,42,1]",42.65051739607073,49.98915,42.17456720368277,64.20931553399998,9.798910000000093e-16,90.47076,1.738553623713362,6.112199946946295,85.11697574487943
"a_fit[28,42,1]",43.43482733429643,37.81525,43.087157647480105,56.06488965002991,-2.1314609999999905e-15,92.62459499999999,1.7413945348749391,6.096241209980998,81.39701493093769
"a_fit[29,42,1]",59.17651128291772,91.10249999999999,57.29444795135786,59.8028949,-4.6892599999999945e-14,125.07915,1.7949859275579088,5.9151514837128945,43.7209310809023
"a_fit[30,42,1]",37.48508619195061,51.8442,37.007166649385276,50.13523095,-2.5776129999999982e-14,79.92764,1.7384356514227017,6.098508525764379,73.92395106386361
