variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
lp__,-104.246691075,-103.1575,11.262899697615286,11.226098939999998,-124.13480000000001,-87.176385,1.005939547964884,431.27722597860713,840.3231705743849
theta_KA,0.75451749725,0.6668105,0.3711709821653679,0.19096406910000002,0.4450644,1.3323834999999997,1.0080383424560713,448.16066704434314,628.4378413919746
theta_CL,0.1352226505,0.134968,0.008105731405416414,0.007430049899999982,0.1225269,0.1490233,1.0026013477332554,840.6216911881114,1284.964689038156
theta_V,7.698947215,7.69062,0.36486937825013477,0.3587966130000004,7.1164745,8.3112405,1.001421487207115,943.5374809034086,1392.14245369978
omega_KA,0.90223875325,0.8440945,0.30047303738221137,0.24801229319999996,0.5385787000000001,1.4697989999999999,1.0083072242553217,423.04843405964465,788.6142829416419
omega_CL,0.30277218925,0.298209,0.048172775389976524,0.046163716199999996,0.23340645,0.38949724999999996,0.999917793025986,3059.5515652256026,2770.037962001867
omega_V,0.23545365099999999,0.2318595,0.03941362857000688,0.036955287600000004,0.17799784999999999,0.30665329999999996,1.0017112514839963,2693.237183660175,2773.4783553798175
sigma,1.081885158,1.0792950000000001,0.05774881562948012,0.058814742000000135,0.9926783,1.1822819999999998,1.0004296327121127,2909.683726422654,2993.953992218022
eta_KA[1],-1.1051543165225,-1.059955,0.4137803345146661,0.38098001549999994,-1.8491944999999999,-0.5130290500000003,1.0048568975035206,528.5415482070813,832.5518928754327
eta_KA[2],-0.04162288536725,-0.03087595,0.9252672826559027,0.8345273705999999,-1.5281025,1.4640635,1.0029252226687444,4187.997721300456,2445.599540056054
eta_KA[3],-0.4109431615575,-0.368228,0.39647036720257783,0.3624704958,-1.1110730000000002,0.1635492,1.006105850791779,551.897980848298,700.3654630820631
eta_KA[4],0.17634657721125,0.08858094999999999,0.6266408903608104,0.47116879740000006,-0.6657093,1.3530614999999988,1.0025950291168908,2085.8979311248527,1317.5544022043548
eta_KA[5],0.57164718128105,0.481022,0.6751644800670962,0.5393735865,-0.3014611,1.738049,1.0014513176752997,3246.4082961913737,1899.7946616560153
eta_KA[6],0.12295479510325,0.027327249999999997,0.8530298524337877,0.7832735179499999,-1.059068,1.5957429999999995,1.0031206639384183,2699.0104287326208,1963.5319176127955
eta_KA[7],0.6687299265885,0.5786975,0.680031726075251,0.579044256,-0.24783319999999998,1.9170629999999997,1.0010302722119955,2376.430987952762,1468.1172356980296
eta_KA[8],1.22336718529675,1.15373,0.5632842199561335,0.4698092531999999,0.4501477,2.244217499999999,1.0018292318617372,2430.8128262925384,1541.8215079134807
eta_KA[9],-0.794217181225,-0.748533,0.37477228103121907,0.3278569749,-1.4987044999999999,-0.2827197,1.00791107183723,505.503926032059,631.5977592173091
eta_KA[10],-1.7268255297499927e-4,0.0126922,0.9183953527250285,0.8413169372999998,-1.4993575000000001,1.4954929999999984,1.005382248991753,4245.298721944944,2120.549148434756
eta_KA[11],0.084714809563875,0.112571,0.38201283149199444,0.3372188526,-0.5826030999999999,0.6408205999999999,1.0047743077059608,572.3092857449226,759.3636118995655
eta_KA[12],-1.4120410752500001,-1.36308,0.3829964098387104,0.32968576199999977,-2.1079705000000004,-0.8700009,1.0057978872260294,483.7489292643226,764.5723560744963
eta_KA[13],-0.339245181631225,-0.30651799999999996,0.38777821893954545,0.34829328155999995,-1.041572,0.22839184999999979,1.0061359568473867,509.6050969000407,678.7263167562662
eta_KA[14],-0.2147419725345,-0.1736375,0.3741437795478162,0.34241002824,-0.8892524500000001,0.31077119999999975,1.004502868907866,491.15463459414644,703.2355936751849
eta_KA[15],0.107783322459475,0.139284,0.39537760340578804,0.35214307484999996,-0.5992019,0.7020920999999998,1.0048396730852314,579.2015288188093,790.59851929023
eta_KA[16],-0.09603839746625,-0.134413,0.9472291628339842,0.8754426828,-1.5870754999999999,1.4787889999999992,1.0028807132968058,4594.475894169416,2230.5667734081726
eta_KA[17],0.1200415450511,0.117135,0.9285001794046257,0.835126341,-1.383818,1.6412594999999994,1.00197035044591,4624.565891101026,2528.313629085453
eta_KA[18],0.120975064666275,0.09778525,0.9221446083842035,0.8044698794999998,-1.3633075,1.6357984999999995,1.0013351604227985,4200.771720612387,2508.200773971611
